id,ativo,usado,data_ativacao,data_entrada;;id;ativo;usado;data ativação;data entrada;;;;;;bilhetes não usados;
"EVT-IVM715JN,TRUE,TRUE,""15/05/2026, 12:24:00"",""15/05/2026, 13:08:24""";;EVT-IVM715JN;TRUE,;TRUE,;15/05/2026, 12:24:00;15/05/2026, 13:08:24;13;18;23;46;;;0
"EVT-IWC0PSYD,TRUE,TRUE,""14/05/2026, 17:32:57"",""15/05/2026, 14:00:20""";;EVT-IWC0PSYD;TRUE,;TRUE,;14/05/2026, 17:32:57;15/05/2026, 14:00:20;13;18;23;46;;;0
"EVT-IYWW3KTY,TRUE,TRUE,""14/05/2026, 17:47:01"",""17/05/2026, 13:12:25""";;EVT-IYWW3KTY;TRUE,;TRUE,;14/05/2026, 17:47:01;17/05/2026, 13:12:25;13;18;23;46;;;0
"EVT-IZ0JMKH2,TRUE,TRUE,""16/05/2026, 12:43:20"",""16/05/2026, 12:44:48""";;EVT-IZ0JMKH2;TRUE,;TRUE,;16/05/2026, 12:43:20;16/05/2026, 12:44:48;13;18;23;46;;;0
EVT-IZT3FHU8,FALSE,FALSE,,;;EVT-IZT3FHU8;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-J0R9W812,TRUE,TRUE,""16/05/2026, 14:34:47"",""16/05/2026, 14:35:28""";;EVT-J0R9W812;TRUE,;TRUE,;16/05/2026, 14:34:47;16/05/2026, 14:35:28;13;18;23;46;;;0
"EVT-J18PR7UT,TRUE,TRUE,""15/05/2026, 12:17:49"",""15/05/2026, 13:38:55""";;EVT-J18PR7UT;TRUE,;TRUE,;15/05/2026, 12:17:49;15/05/2026, 13:38:55;13;18;23;46;;;0
"EVT-J3WD17V0,TRUE,TRUE,""17/05/2026, 13:22:44"",""17/05/2026, 13:23:21""";;EVT-J3WD17V0;TRUE,;TRUE,;17/05/2026, 13:22:44;17/05/2026, 13:23:21;13;18;23;46;;;0
"EVT-J48K1S8T,TRUE,TRUE,""15/05/2026, 12:16:09"",""15/05/2026, 15:00:17""";;EVT-J48K1S8T;TRUE,;TRUE,;15/05/2026, 12:16:09;15/05/2026, 15:00:17;13;18;23;46;;;0
"EVT-J6OCHTAJ,TRUE,TRUE,""14/05/2026, 11:51:25"",""17/05/2026, 14:30:32""";;EVT-J6OCHTAJ;TRUE,;TRUE,;14/05/2026, 11:51:25;17/05/2026, 14:30:32;13;18;23;46;;;0
EVT-J7FUQF4U,FALSE,FALSE,,;;EVT-J7FUQF4U;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-J9M0284N,TRUE,TRUE,""14/05/2026, 17:25:44"",""15/05/2026, 12:32:31""";;EVT-J9M0284N;TRUE,;TRUE,;14/05/2026, 17:25:44;15/05/2026, 12:32:31;13;18;23;46;;;0
EVT-JDIO2PAZ,FALSE,FALSE,,;;EVT-JDIO2PAZ;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-JDOSF021,TRUE,TRUE,""14/05/2026, 17:52:39"",""15/05/2026, 13:40:15""";;EVT-JDOSF021;TRUE,;TRUE,;14/05/2026, 17:52:39;15/05/2026, 13:40:15;13;18;23;46;;;0
EVT-JDUES2AI,FALSE,FALSE,,;;EVT-JDUES2AI;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-JGE2AJ92,FALSE,FALSE,,;;EVT-JGE2AJ92;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-JGMT8JW8,FALSE,FALSE,,;;EVT-JGMT8JW8;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-JMO5NGU5,FALSE,FALSE,,;;EVT-JMO5NGU5;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-JV1VXIA7,FALSE,FALSE,,;;EVT-JV1VXIA7;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-JZQJUAZL,TRUE,FALSE,""14/05/2026, 17:30:55"",";;EVT-JZQJUAZL;TRUE,;FALSE,;14/05/2026, 17:30:55;;13;18;24;47;;EVT-JZQJUAZL;0
"EVT-K66803KX,TRUE,TRUE,""15/05/2026, 12:23:57"",""15/05/2026, 13:08:17""";;EVT-K66803KX;TRUE,;TRUE,;15/05/2026, 12:23:57;15/05/2026, 13:08:17;13;18;23;46;;;0
"EVT-KA36PBKS,TRUE,TRUE,""14/05/2026, 17:32:53"",""15/05/2026, 14:59:08""";;EVT-KA36PBKS;TRUE,;TRUE,;14/05/2026, 17:32:53;15/05/2026, 14:59:08;13;18;23;46;;;0
"EVT-KG7U3NXU,TRUE,TRUE,""14/05/2026, 17:46:58"",""17/05/2026, 12:49:29""";;EVT-KG7U3NXU;TRUE,;TRUE,;14/05/2026, 17:46:58;17/05/2026, 12:49:29;13;18;23;46;;;0
"EVT-KK74YKWC,TRUE,TRUE,""16/05/2026, 12:21:47"",""17/05/2026, 14:27:07""";;EVT-KK74YKWC;TRUE,;TRUE,;16/05/2026, 12:21:47;17/05/2026, 14:27:07;13;18;23;46;;;0
EVT-KLKUULJW,FALSE,FALSE,,;;EVT-KLKUULJW;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-KLMXVX1X,TRUE,TRUE,""16/05/2026, 14:34:56"",""16/05/2026, 14:35:21""";;EVT-KLMXVX1X;TRUE,;TRUE,;16/05/2026, 14:34:56;16/05/2026, 14:35:21;13;18;23;46;;;0
"EVT-KLRMG2RQ,TRUE,TRUE,""17/05/2026, 13:27:54"",""17/05/2026, 13:28:09""";;EVT-KLRMG2RQ;TRUE,;TRUE,;17/05/2026, 13:27:54;17/05/2026, 13:28:09;13;18;23;46;;;0
"EVT-KMWEUVGW,TRUE,TRUE,""14/05/2026, 11:51:17"",""17/05/2026, 14:30:37""";;EVT-KMWEUVGW;TRUE,;TRUE,;14/05/2026, 11:51:17;17/05/2026, 14:30:37;13;18;23;46;;;0
EVT-KOAUZTQ0,FALSE,FALSE,,;;EVT-KOAUZTQ0;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-KOUMM2MX,TRUE,TRUE,""14/05/2026, 17:25:26"",""15/05/2026, 14:23:25""";;EVT-KOUMM2MX;TRUE,;TRUE,;14/05/2026, 17:25:26;15/05/2026, 14:23:25;13;18;23;46;;;0
"EVT-KR8476HJ,TRUE,FALSE,""15/05/2026, 13:53:46"",";;EVT-KR8476HJ;TRUE,;FALSE,;15/05/2026, 13:53:46;;13;18;24;47;;EVT-KR8476HJ;0
"EVT-KXDER47P,TRUE,TRUE,""17/05/2026, 12:42:33"",""17/05/2026, 12:42:59""";;EVT-KXDER47P;TRUE,;TRUE,;17/05/2026, 12:42:33;17/05/2026, 12:42:59;13;18;23;46;;;0
EVT-L5VNESF2,FALSE,FALSE,,;;EVT-L5VNESF2;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-L8GYBQHJ,TRUE,TRUE,""14/05/2026, 17:52:36"",""15/05/2026, 13:40:20""";;EVT-L8GYBQHJ;TRUE,;TRUE,;14/05/2026, 17:52:36;15/05/2026, 13:40:20;13;18;23;46;;;0
EVT-LEC0CI6U,FALSE,FALSE,,;;EVT-LEC0CI6U;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-LF8U21FU,FALSE,FALSE,,;;EVT-LF8U21FU;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-LKY153OX,FALSE,FALSE,,;;EVT-LKY153OX;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-LM2K7MQV,FALSE,FALSE,,;;EVT-LM2K7MQV;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-LNY83V5A,FALSE,FALSE,,;;EVT-LNY83V5A;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-LXV0A6GS,TRUE,FALSE,""14/05/2026, 17:30:18"",";;EVT-LXV0A6GS;TRUE,;FALSE,;14/05/2026, 17:30:18;;13;18;24;47;;EVT-LXV0A6GS;0
"EVT-LZ8OGT8C,TRUE,TRUE,""15/05/2026, 13:09:04"",""15/05/2026, 13:09:34""";;EVT-LZ8OGT8C;TRUE,;TRUE,;15/05/2026, 13:09:04;15/05/2026, 13:09:34;13;18;23;46;;;0
EVT-M21I4VXX,FALSE,FALSE,,;;EVT-M21I4VXX;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-M3YBLAGH,TRUE,TRUE,""14/05/2026, 17:32:49"",""15/05/2026, 12:45:52""";;EVT-M3YBLAGH;TRUE,;TRUE,;14/05/2026, 17:32:49;15/05/2026, 12:45:52;13;18;23;46;;;0
"EVT-M5J0R3JK,TRUE,TRUE,""14/05/2026, 17:46:54"",""17/05/2026, 13:37:08""";;EVT-M5J0R3JK;TRUE,;TRUE,;14/05/2026, 17:46:54;17/05/2026, 13:37:08;13;18;23;46;;;0
"EVT-M5T1D560,TRUE,TRUE,""16/05/2026, 12:21:42"",""17/05/2026, 14:32:41""";;EVT-M5T1D560;TRUE,;TRUE,;16/05/2026, 12:21:42;17/05/2026, 14:32:41;13;18;23;46;;;0
"EVT-MGRRPXTA,TRUE,TRUE,""16/05/2026, 14:07:15"",""16/05/2026, 14:09:06""";;EVT-MGRRPXTA;TRUE,;TRUE,;16/05/2026, 14:07:15;16/05/2026, 14:09:06;13;18;23;46;;;0
"EVT-MJ5L892O,TRUE,TRUE,""17/05/2026, 13:43:10"",""17/05/2026, 13:43:32""";;EVT-MJ5L892O;TRUE,;TRUE,;17/05/2026, 13:43:10;17/05/2026, 13:43:32;13;18;23;46;;;0
"EVT-MJU7NK77,TRUE,TRUE,""14/05/2026, 11:50:53"",""17/05/2026, 14:31:00""";;EVT-MJU7NK77;TRUE,;TRUE,;14/05/2026, 11:50:53;17/05/2026, 14:31:00;13;18;23;46;;;0
EVT-MKGQ4FS9,FALSE,FALSE,,;;EVT-MKGQ4FS9;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-MLE0ZA6U,TRUE,TRUE,""14/05/2026, 11:53:57"",""15/05/2026, 12:30:14""";;EVT-MLE0ZA6U;TRUE,;TRUE,;14/05/2026, 11:53:57;15/05/2026, 12:30:14;13;18;23;46;;;0
"EVT-MLR9AVGL,TRUE,TRUE,""15/05/2026, 12:17:46"",""15/05/2026, 13:34:38""";;EVT-MLR9AVGL;TRUE,;TRUE,;15/05/2026, 12:17:46;15/05/2026, 13:34:38;13;18;23;46;;;0
"EVT-MM8YA1CZ,TRUE,TRUE,""15/05/2026, 12:16:06"",""17/05/2026, 12:41:55""";;EVT-MM8YA1CZ;TRUE,;TRUE,;15/05/2026, 12:16:06;17/05/2026, 12:41:55;13;18;23;46;;;0
EVT-MNB2PPQI,FALSE,FALSE,,;;EVT-MNB2PPQI;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-MRQXXXXC,TRUE,TRUE,""14/05/2026, 17:52:32"",""16/05/2026, 13:32:02""";;EVT-MRQXXXXC;TRUE,;TRUE,;14/05/2026, 17:52:32;16/05/2026, 13:32:02;13;18;23;46;;;0
EVT-MVESDD2G,FALSE,FALSE,,;;EVT-MVESDD2G;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-N495AHP0,FALSE,FALSE,,;;EVT-N495AHP0;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-N88255G1,FALSE,FALSE,,;;EVT-N88255G1;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-N8BUXRYM,TRUE,TRUE,""17/05/2026, 13:22:38"",""17/05/2026, 13:23:06""";;EVT-N8BUXRYM;TRUE,;TRUE,;17/05/2026, 13:22:38;17/05/2026, 13:23:06;13;18;23;46;;;0
EVT-NCYELBFR,FALSE,FALSE,,;;EVT-NCYELBFR;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-NEA3DSO1,TRUE,FALSE,""14/05/2026, 17:30:10"",";;EVT-NEA3DSO1;TRUE,;FALSE,;14/05/2026, 17:30:10;;13;18;24;47;;EVT-NEA3DSO1;0
"EVT-NFRSHKON,TRUE,TRUE,""14/05/2026, 17:51:09"",""16/05/2026, 13:46:04""";;EVT-NFRSHKON;TRUE,;TRUE,;14/05/2026, 17:51:09;16/05/2026, 13:46:04;13;18;23;46;;;0
"EVT-NG9DPGPV,TRUE,TRUE,""14/05/2026, 17:32:45"",""16/05/2026, 14:10:31""";;EVT-NG9DPGPV;TRUE,;TRUE,;14/05/2026, 17:32:45;16/05/2026, 14:10:31;13;18;23;46;;;0
"EVT-NGJ9BM14,TRUE,TRUE,""14/05/2026, 17:46:50"",""16/05/2026, 13:31:25""";;EVT-NGJ9BM14;TRUE,;TRUE,;14/05/2026, 17:46:50;16/05/2026, 13:31:25;13;18;23;46;;;0
"EVT-NP3K9E3D,TRUE,TRUE,""16/05/2026, 12:21:38"",""17/05/2026, 14:32:30""";;EVT-NP3K9E3D;TRUE,;TRUE,;16/05/2026, 12:21:38;17/05/2026, 14:32:30;13;18;23;46;;;0
EVT-NWM21TF7,FALSE,FALSE,,;;EVT-NWM21TF7;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-O0V38YYL,TRUE,TRUE,""16/05/2026, 14:07:30"",""16/05/2026, 14:09:00""";;EVT-O0V38YYL;TRUE,;TRUE,;16/05/2026, 14:07:30;16/05/2026, 14:09:00;13;18;23;46;;;0
"EVT-O175KPU8,TRUE,FALSE,""14/05/2026, 17:50:54"",";;EVT-O175KPU8;TRUE,;FALSE,;14/05/2026, 17:50:54;;13;18;24;47;;EVT-O175KPU8;0
EVT-O6431I3D,FALSE,FALSE,,;;EVT-O6431I3D;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-O7CLFEM8,TRUE,TRUE,""17/05/2026, 12:33:35"",""17/05/2026, 12:33:51""";;EVT-O7CLFEM8;TRUE,;TRUE,;17/05/2026, 12:33:35;17/05/2026, 12:33:51;13;18;23;46;;;0
"EVT-OEFFSL0W,TRUE,TRUE,""14/05/2026, 11:53:51"",""15/05/2026, 12:29:59""";;EVT-OEFFSL0W;TRUE,;TRUE,;14/05/2026, 11:53:51;15/05/2026, 12:29:59;13;18;23;46;;;0
"EVT-OI1VLWIK,TRUE,TRUE,""14/05/2026, 17:52:54"",""15/05/2026, 13:52:46""";;EVT-OI1VLWIK;TRUE,;TRUE,;14/05/2026, 17:52:54;15/05/2026, 13:52:46;13;18;23;46;;;0
"EVT-OLH0FC1P,TRUE,TRUE,""17/05/2026, 12:42:38"",""17/05/2026, 12:42:54""";;EVT-OLH0FC1P;TRUE,;TRUE,;17/05/2026, 12:42:38;17/05/2026, 12:42:54;13;18;23;46;;;0
EVT-OPHCB6XN,FALSE,FALSE,,;;EVT-OPHCB6XN;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-ORP6GZ8H,TRUE,TRUE,""14/05/2026, 17:52:29"",""16/05/2026, 13:32:17""";;EVT-ORP6GZ8H;TRUE,;TRUE,;14/05/2026, 17:52:29;16/05/2026, 13:32:17;13;18;23;46;;;0
EVT-OTWXZ1FJ,FALSE,FALSE,,;;EVT-OTWXZ1FJ;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-P1AAX0N3,TRUE,TRUE,""17/05/2026, 13:22:33"",""17/05/2026, 13:23:11""";;EVT-P1AAX0N3;TRUE,;TRUE,;17/05/2026, 13:22:33;17/05/2026, 13:23:11;13;18;23;46;;;0
EVT-P3FNCA61,FALSE,FALSE,,;;EVT-P3FNCA61;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-P4CZH9MX,FALSE,FALSE,,;;EVT-P4CZH9MX;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-P8OCZQ1I,FALSE,FALSE,,;;EVT-P8OCZQ1I;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-P98CR2SJ,TRUE,FALSE,""14/05/2026, 17:30:06"",";;EVT-P98CR2SJ;TRUE,;FALSE,;14/05/2026, 17:30:06;;13;18;24;47;;EVT-P98CR2SJ;0
"EVT-PBAUI2HR,TRUE,TRUE,""14/05/2026, 17:51:06"",""16/05/2026, 13:57:46""";;EVT-PBAUI2HR;TRUE,;TRUE,;14/05/2026, 17:51:06;16/05/2026, 13:57:46;13;18;23;46;;;0
"EVT-PCNT5G27,TRUE,TRUE,""14/05/2026, 17:32:41"",""17/05/2026, 12:01:19""";;EVT-PCNT5G27;TRUE,;TRUE,;14/05/2026, 17:32:41;17/05/2026, 12:01:19;13;18;23;46;;;0
"EVT-PCZOSSSN,TRUE,TRUE,""14/05/2026, 17:46:46"",""16/05/2026, 13:31:19""";;EVT-PCZOSSSN;TRUE,;TRUE,;14/05/2026, 17:46:46;16/05/2026, 13:31:19;13;18;23;46;;;0
"EVT-PDWLYJO4,TRUE,TRUE,""16/05/2026, 12:21:33"",""17/05/2026, 14:32:25""";;EVT-PDWLYJO4;TRUE,;TRUE,;16/05/2026, 12:21:33;17/05/2026, 14:32:25;13;18;23;46;;;0
EVT-PHY8Q7QD,FALSE,FALSE,,;;EVT-PHY8Q7QD;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-PJIPQQLR,TRUE,TRUE,""16/05/2026, 14:34:41"",""16/05/2026, 14:35:35""";;EVT-PJIPQQLR;TRUE,;TRUE,;16/05/2026, 14:34:41;16/05/2026, 14:35:35;13;18;23;46;;;0
"EVT-PK8OYS0S,TRUE,TRUE,""17/05/2026, 12:33:28"",""17/05/2026, 12:33:56""";;EVT-PK8OYS0S;TRUE,;TRUE,;17/05/2026, 12:33:28;17/05/2026, 12:33:56;13;18;23;46;;;0
"EVT-PL3E2LOO,TRUE,FALSE,""14/05/2026, 17:50:50"",";;EVT-PL3E2LOO;TRUE,;FALSE,;14/05/2026, 17:50:50;;13;18;24;47;;EVT-PL3E2LOO;0
EVT-PM3RRTC1,FALSE,FALSE,,;;EVT-PM3RRTC1;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-PSIDO5YG,TRUE,TRUE,""14/05/2026, 11:53:45"",""15/05/2026, 12:39:48""";;EVT-PSIDO5YG;TRUE,;TRUE,;14/05/2026, 11:53:45;15/05/2026, 12:39:48;13;18;23;46;;;0
"EVT-PUBPW173,TRUE,TRUE,""14/05/2026, 17:52:51"",""15/05/2026, 13:52:57""";;EVT-PUBPW173;TRUE,;TRUE,;14/05/2026, 17:52:51;15/05/2026, 13:52:57;13;18;23;46;;;0
"EVT-PUDS5RC7,TRUE,TRUE,""15/05/2026, 12:16:02"",""17/05/2026, 12:42:05""";;EVT-PUDS5RC7;TRUE,;TRUE,;15/05/2026, 12:16:02;17/05/2026, 12:42:05;13;18;23;46;;;0
EVT-PUR7MTDU,FALSE,FALSE,,;;EVT-PUR7MTDU;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-PVFSRG50,TRUE,TRUE,""14/05/2026, 17:52:25"",""16/05/2026, 13:30:15""";;EVT-PVFSRG50;TRUE,;TRUE,;14/05/2026, 17:52:25;16/05/2026, 13:30:15;13;18;23;46;;;0
EVT-PXA5B0IM,FALSE,FALSE,,;;EVT-PXA5B0IM;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-PY36H87U,FALSE,FALSE,,;;EVT-PY36H87U;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-PZZZFJCG,FALSE,FALSE,,;;EVT-PZZZFJCG;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-Q0P5O3PV,FALSE,FALSE,,;;EVT-Q0P5O3PV;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-Q3FQR1PM,FALSE,FALSE,,;;EVT-Q3FQR1PM;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-Q43FKZMR,TRUE,TRUE,""14/05/2026, 17:51:02"",""16/05/2026, 13:57:52""";;EVT-Q43FKZMR;TRUE,;TRUE,;14/05/2026, 17:51:02;16/05/2026, 13:57:52;13;18;23;46;;;0
"EVT-Q5CEVB9M,TRUE,FALSE,""14/05/2026, 17:30:01"",";;EVT-Q5CEVB9M;TRUE,;FALSE,;14/05/2026, 17:30:01;;13;18;24;47;;EVT-Q5CEVB9M;0
"EVT-QB5VVAF7,TRUE,TRUE,""14/05/2026, 17:32:37"",""15/05/2026, 21:09:45""";;EVT-QB5VVAF7;TRUE,;TRUE,;14/05/2026, 17:32:37;15/05/2026, 21:09:45;13;18;23;46;;;0
"EVT-QBN1IJXS,TRUE,TRUE,""14/05/2026, 17:46:36"",""15/05/2026, 15:00:11""";;EVT-QBN1IJXS;TRUE,;TRUE,;14/05/2026, 17:46:36;15/05/2026, 15:00:11;13;18;23;46;;;0
"EVT-QCDZJJOY,TRUE,TRUE,""16/05/2026, 12:21:27"",""16/05/2026, 13:29:30""";;EVT-QCDZJJOY;TRUE,;TRUE,;16/05/2026, 12:21:27;16/05/2026, 13:29:30;13;18;23;46;;;0
EVT-QCU270F4,FALSE,FALSE,,;;EVT-QCU270F4;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-QEIJWR8T,TRUE,TRUE,""17/05/2026, 14:27:29"",""17/05/2026, 14:27:34""";;EVT-QEIJWR8T;TRUE,;TRUE,;17/05/2026, 14:27:29;17/05/2026, 14:27:34;13;18;23;46;;;0
"EVT-QFTXATY8,TRUE,TRUE,""17/05/2026, 12:33:17"",""17/05/2026, 12:34:01""";;EVT-QFTXATY8;TRUE,;TRUE,;17/05/2026, 12:33:17;17/05/2026, 12:34:01;13;18;23;46;;;0
"EVT-QI8Y7YPP,TRUE,TRUE,""14/05/2026, 17:50:47"",""16/05/2026, 20:04:34""";;EVT-QI8Y7YPP;TRUE,;TRUE,;14/05/2026, 17:50:47;16/05/2026, 20:04:34;13;18;23;46;;;0
"EVT-QIP9K3BB,TRUE,TRUE,""15/05/2026, 11:52:04"",""16/05/2026, 20:30:22""";;EVT-QIP9K3BB;TRUE,;TRUE,;15/05/2026, 11:52:04;16/05/2026, 20:30:22;13;18;23;46;;;0
"EVT-QJMVTYYY,TRUE,TRUE,""14/05/2026, 11:53:40"",""15/05/2026, 12:39:43""";;EVT-QJMVTYYY;TRUE,;TRUE,;14/05/2026, 11:53:40;15/05/2026, 12:39:43;13;18;23;46;;;0
"EVT-QJWPJ727,TRUE,TRUE,""14/05/2026, 17:52:48"",""15/05/2026, 13:52:51""";;EVT-QJWPJ727;TRUE,;TRUE,;14/05/2026, 17:52:48;15/05/2026, 13:52:51;13;18;23;46;;;0
"EVT-QL4L53HE,TRUE,TRUE,""17/05/2026, 12:42:27"",""17/05/2026, 12:43:04""";;EVT-QL4L53HE;TRUE,;TRUE,;17/05/2026, 12:42:27;17/05/2026, 12:43:04;13;18;23;46;;;0
EVT-QMB6W4ZO,FALSE,FALSE,,;;EVT-QMB6W4ZO;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-QRIPLQ3P,TRUE,TRUE,""14/05/2026, 17:52:21"",""16/05/2026, 13:30:20""";;EVT-QRIPLQ3P;TRUE,;TRUE,;14/05/2026, 17:52:21;16/05/2026, 13:30:20;13;18;23;46;;;0
"EVT-QS5JVCHI,TRUE,TRUE,""15/05/2026, 13:06:39"",""15/05/2026, 13:33:35""";;EVT-QS5JVCHI;TRUE,;TRUE,;15/05/2026, 13:06:39;15/05/2026, 13:33:35;13;18;23;46;;;0
EVT-QV9MHO2T,FALSE,FALSE,,;;EVT-QV9MHO2T;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-R50MFU46,TRUE,FALSE,""14/05/2026, 17:29:55"",";;EVT-R50MFU46;TRUE,;FALSE,;14/05/2026, 17:29:55;;13;18;24;47;;EVT-R50MFU46;0
EVT-R5FGU4RV,FALSE,FALSE,,;;EVT-R5FGU4RV;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-R65F5FLE,TRUE,TRUE,""14/05/2026, 17:50:57"",""16/05/2026, 13:54:04""";;EVT-R65F5FLE;TRUE,;TRUE,;14/05/2026, 17:50:57;16/05/2026, 13:54:04;13;18;23;46;;;0
EVT-R7RBGP8H,FALSE,FALSE,,;;EVT-R7RBGP8H;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-R7WU50I3,FALSE,FALSE,,;;EVT-R7WU50I3;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-RCDJSL0M,TRUE,TRUE,""14/05/2026, 17:32:33"",""15/05/2026, 21:10:43""";;EVT-RCDJSL0M;TRUE,;TRUE,;14/05/2026, 17:32:33;15/05/2026, 21:10:43;13;18;23;46;;;0
"EVT-REC2NYL9,TRUE,TRUE,""14/05/2026, 17:42:42"",""16/05/2026, 14:08:53""";;EVT-REC2NYL9;TRUE,;TRUE,;14/05/2026, 17:42:42;16/05/2026, 14:08:53;13;18;23;46;;;0
"EVT-RGWZMWZZ,TRUE,TRUE,""16/05/2026, 12:21:21"",""16/05/2026, 13:29:37""";;EVT-RGWZMWZZ;TRUE,;TRUE,;16/05/2026, 12:21:21;16/05/2026, 13:29:37;13;18;23;46;;;0
EVT-RI4DIQ9U,FALSE,FALSE,,;;EVT-RI4DIQ9U;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-RKFO4TI4,TRUE,TRUE,""17/05/2026, 14:27:26"",""17/05/2026, 14:27:39""";;EVT-RKFO4TI4;TRUE,;TRUE,;17/05/2026, 14:27:26;17/05/2026, 14:27:39;13;18;23;46;;;0
"EVT-RPXMNQ1M,TRUE,TRUE,""17/05/2026, 12:33:11"",""17/05/2026, 12:34:06""";;EVT-RPXMNQ1M;TRUE,;TRUE,;17/05/2026, 12:33:11;17/05/2026, 12:34:06;13;18;23;46;;;0
"EVT-RQFTZIGJ,TRUE,TRUE,""14/05/2026, 17:50:44"",""16/05/2026, 20:25:42""";;EVT-RQFTZIGJ;TRUE,;TRUE,;14/05/2026, 17:50:44;16/05/2026, 20:25:42;13;18;23;46;;;0
"EVT-RR6HM85L,TRUE,TRUE,""15/05/2026, 11:52:01"",""16/05/2026, 13:36:40""";;EVT-RR6HM85L;TRUE,;TRUE,;15/05/2026, 11:52:01;16/05/2026, 13:36:40;13;18;23;46;;;0
"EVT-RSVYL8AX,TRUE,TRUE,""14/05/2026, 11:53:35"",""16/05/2026, 13:30:05""";;EVT-RSVYL8AX;TRUE,;TRUE,;14/05/2026, 11:53:35;16/05/2026, 13:30:05;13;18;23;46;;;0
